"","X","Y","X_ACC","Y_ACC","Z_ACC","X_GYR","Y_GYR","Z_GYR","status"
"1",-139.73,105.085,-0.339,-0.078,0.934,-60.351,31.878,21.359,"1"
"2",-141.255,104.553,-0.354,-0.084,0.943,-53.573,28.656,15.985,"1"
"3",-141.773,104.451,-0.332,-0.076,0.921,-54.137,30.931,8.947,"1"
"4",-142.014,104.23,-0.324,-0.072,0.918,-54.748,34.794,10.855,"1"
"5",-142.475,104.164,-0.338,-0.09,0.9150001,-51.756,36.382,8.382,"1"
"6",-128.478,115.983,-0.434,0.389,0.701,-109.756,42.794,-26.427,"1"
"7",-138.738,118.692,-0.649,0.001,1.112,-68.718,29.084,-11.282,"1"
"8",-149.469,116.21,-0.53,-0.282,0.569,-90.076,61.405,12.763,"1"
"9",-152.617,123.213,-0.618,-0.381,0.596,-39.557,75.069,1.069,"1"
"10",-148.861,131.122,-0.78,-0.198,0.7059999,-35.191,27.817,8.534,"1"
"11",-147.621,127.743,-0.673,-0.117,0.62,-49.527,8.214,43.389,"1"
"12",-147.132,126.291,-0.685,-0.042,0.663,-63.832,24.229,48.275,"1"
"13",-146.654,127.297,-0.633,-0.051,0.685,-45.145,51.756,12.733,"1"
"14",-143.7,129.596,-0.68,0.08,0.657,-51.832,79.649,11.985,"1"
"15",-141.909,144.247,-0.879,0.03,0.411,-50.092,111.008,21.252,"1"
"16",-140.297,159.665,-0.986,0.124,0.197,-41.237,59.863,2.244,"1"
"17",-134.727,172.222,-1.253,-0.037,0.133,-1.282,22.962,-30.412,"1"
"18",-120.723,171.577,-0.745,-0.166,0.215,35.267,66.41201,-32.046,"1"
"19",-104.379,174.79,-0.765,-0.07,0.326,24.046,75.252,-24.733,"1"
"20",-96.223,188.225,-1.134,0.02,0.067,-37.328,75.328,9.008,"1"
"21",-98.592,200.057,-0.863,-0.135,-0.202,-44.55,92.26001,19.008,"1"
"22",-98.283,215.675,-0.793,0.001,-0.156,-21.74,99.35901,11.099,"1"
"23",-95.93699,221.391,-0.866,-0.087,-0.317,-30.107,31.527,48.26,"1"
"24",-95.738,215.463,-0.854,-0.073,-0.25,-24.321,34,39.389,"1"
"25",-94.11201,212.991,-0.786,0.099,-0.139,-46.733,42.779,26.473,"1"
"26",-96.159,213.271,-0.847,-0.014,-0.088,-38.29,35.206,18.183,"1"
"27",-94.41001,208.932,-1.178,0.044,-0.304,-36.214,16.275,7.389,"1"
"28",-91.931,207.008,-0.975,-0.03,-0.185,-19.115,31.038,0.947,"1"
"29",-93.569,202.978,-0.871,-0.024,-0.161,-55.252,30.748,10.443,"1"
"30",-100.516,193.56,-0.9150001,0.037,-0.031,-83.557,-50.489,25.099,"1"
"31",-119.716,154.593,-0.393,0.442,0.304,-105.679,-117.176,267.282,"1"
"32",-113.351,143.654,-0.61,1.508,0.558,-8.076,99.221,165.084,"1"
"33",-102.624,151.545,-0.345,1.212,0.44,-11.023,89.298,97.924,"1"
"34",-93.46701,152.505,-0.324,1.235,0.513,-29.802,44.443,33.038,"1"
"35",-92.432,149.899,-0.365,1.204,0.296,-60.076,-17.282,-64.382,"1"
"36",-94.88601,131.246,-0.3,1.573,0.087,-112.122,6.794,-101.634,"1"
"37",-100.648,126.171,-0.394,1.061,0.244,-65.16,43.374,-65.053,"1"
"38",-100.295,124.194,-0.531,1.02,0.47,-43.817,8.733,35.008,"1"
"39",-97.712,123.815,-0.396,0.9639999,0.426,-44.214,22.534,90.794,"1"
"40",-93.13701,126.367,-0.366,1.171,0.397,-23.099,47.466,87.06901,"1"
"41",-86.232,130.167,-0.375,1.227,0.51,-22.305,15.313,47.069,"1"
"42",-82.33001,121.531,-0.334,1.488,0.333,-45.74,-3.496,-9.679,"1"
"43",-81.937,110.547,-0.308,1.382,0.167,-75.099,-42.794,-76.489,"1"
"44",-86.573,98.563,-0.382,1.293,0.158,-72.24401,-8.687,-68.26,"1"
"45",-87.852,93.548,-0.486,1.049,0.289,-47.863,22.626,-26.076,"1"
"46",-87.467,97.004,-0.427,1.018,0.529,-40.366,24.565,72.702,"1"
"47",-87.263,99.814,-0.391,1.259,0.452,-49.374,61.191,78.351,"1"
"48",-92.317,90.102,-0.365,0.966,0.521,-49.511,33.878,56.733,"1"
"49",-92.706,95.663,-0.354,1.128,0.563,-58.321,65.252,74.641,"1"
"50",-94.70301,103.395,-0.245,1.214,0.455,-77.237,98.12201,73.053,"1"
"51",-99.244,118.303,-0.24,1.214,0.441,-82.626,116.824,64.504,"1"
"52",-103.019,134.828,-0.202,1.179,0.441,-73.252,120.031,53.802,"1"
"53",-103.854,147.661,-0.342,1.135,0.489,-50.244,90.458,43.099,"1"
"54",-100.932,149.795,-0.365,1.288,0.4,-62.748,56.641,-18.55,"1"
"55",-102.756,150.201,-0.431,1.196,0.381,-77.389,55.573,-62.87,"1"
"56",-108.303,154.765,-0.605,1.079,0.465,-89.847,59.16,-42.168,"1"
"57",-114.684,156.032,-0.532,0.88,0.473,-91.176,53.237,20.916,"1"
"58",-121.186,157.116,-0.589,1.093,0.414,-88.427,74.39701,84.672,"1"
"59",-125.2,161.612,-0.498,1.248,0.349,-83.16001,94.519,109.252,"1"
"60",-127.313,168.319,-0.361,1.246,0.4,-80.39701,114.382,90.70201,"1"
"61",-128.341,177.74,-0.359,1.142,0.458,-65.771,98.29,59.908,"1"
"62",-124.691,179.951,-0.39,1.133,0.535,-38.656,47.13,22.336,"1"
"63",-118.826,174.193,-0.295,1.143,0.449,-41.176,9.893,-43.13,"1"
"64",-114.771,160.092,-0.413,1.304,0.347,-64.733,-30.748,-59.863,"1"
"65",-116.487,149.61,-0.364,1.196,0.335,-75.756,28.931,-48.534,"1"
"66",-114.813,143.605,-0.396,1.013,0.496,-50.183,39.084,1.634,"1"
"67",-114.326,141.774,-0.399,1.18,0.526,-69.435,83.81701,73.053,"1"
"68",-114.763,143.567,-0.298,1.202,0.414,-67.756,71.00801,92.534,"1"
"69",-113.202,150.975,-0.286,1.157,0.497,-56.458,101.466,58.901,"1"
"70",-108.727,150.872,-0.336,1.12,0.529,-42.244,47.252,31.221,"1"
"71",-103.925,144.728,-0.345,1.449,0.448,-37.725,13.298,-21.16,"1"
